Title,Date,Time,Venue,Category,Link,Payment for Entry,Source,_EndDate
Wojtek Fiedorczuk &#038; Michał Kempa,2025-11-13,13:00,Fabryka Kultury Zgrzyt,Na żywo,https://zoom.lublin.pl/wydarzenie/wojtek-fiedorczuk-michal-kempa/,,zoom.lublin.pl,2025-11-13
Kino Bajka: Bugonia,2025-11-13,"13:15, 17:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-bugonia/,,zoom.lublin.pl,2025-11-13
Kino Bajka: Wielkie ostrzeżenie,2025-11-13,14:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-wielkie-ostrzezenie/,,zoom.lublin.pl,2025-11-13
Kino Bajka: Dom dobry,2025-11-13,"15:30, 18:00",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-dom-dobry/,,zoom.lublin.pl,2025-11-13
Etnoczwartki: Frywolitka,2025-11-13,16:30,Muzeum Narodowe w Lublinie,Warsztaty,https://zoom.lublin.pl/wydarzenie/etnoczwartki-frywolitka/,,zoom.lublin.pl,2025-11-13
Miotełka ozdobna,2025-11-13,16:30,Pracownie Kultury Maki,Warsztaty,https://zoom.lublin.pl/wydarzenie/miotelka-ozdobna/,,zoom.lublin.pl,2025-11-13
Wernisaż: Jubileusz 45-lecia pracy twórczej Elwiry Wasak,2025-11-13,17:00,Wojewódzka Biblioteka Publiczna,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-jubileusz-45-lecia-pracy-tworczej-elwiry-wasak/,,zoom.lublin.pl,2025-11-13
Amadeusz,2025-11-13,18:00,Centrum Spotkania Kultur,Teatr,https://zoom.lublin.pl/wydarzenie/amadeusz/,,zoom.lublin.pl,2025-11-13
Dyskusyjne Koło Filmowe Benshi: Prawdziwy ból,2025-11-13,18:00,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/dyskusyjne-kolo-filmowe-benshi-prawdziwy-bol/,,zoom.lublin.pl,2025-11-13
Wernisaż: Ewa Szczęsna-Sienkiel — Przestrzenie i zbliżenia,2025-11-13,18:00,Galeria OKNA,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-ewa-szczesna-sienkiel-przestrzenie-i-zblizenia/,,zoom.lublin.pl,2025-11-13
Teatr Piasku — Mały Książę,2025-11-13,19:00,Centrum Kongresowe Uniwersytetu Przyrodniczego,Teatr,https://zoom.lublin.pl/wydarzenie/teatr-piasku-maly-ksiaze/,,zoom.lublin.pl,2025-11-13
Czy potrafimy wspólnie milczeć w przestrzeni publicznej?,2025-11-13,20:00,Muzeum Osiedli Mieszkaniowych,Spotkanie,https://zoom.lublin.pl/wydarzenie/czy-potrafimy-wspolnie-milczec-w-przestrzeni-publicznej/,,zoom.lublin.pl,2025-11-13
Kino Bajka: Być kochaną,2025-11-13,20:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-byc-kochana/,,zoom.lublin.pl,2025-11-13
MOM TO MUSIC vol. 16: Emiter / Piołun,2025-11-13,20:00,Muzeum Osiedli Mieszkaniowych,Muzyka,https://zoom.lublin.pl/wydarzenie/mom-to-music-vol-16-emiter-piolun/,,zoom.lublin.pl,2025-11-13
Galeria pod schodami: Piękno przyrody w obiektywie lubelskich fotografów,2025-01-22,,Dzielnicowy Dom Kultury SM „Czechów”,Wystawa,https://zoom.lublin.pl/wydarzenie/galeria-pod-schodami-piekno-przyrody-w-obiektywie-lubelskich-fotografow/,,zoom.lublin.pl,2028-02-28
Open Studio,2025-02-14,,Centrum Kultury w Lublinie,Taniec,https://zoom.lublin.pl/wydarzenie/open-studio/,,zoom.lublin.pl,2025-11-30
Wystawa dyplomów specjalności charakteryzacja i wizaż Lubelskiej Szkoły Sztuki i Projektowania,2025-09-18,,Dzielnicowy Dom Kultury SM „Czechów”,Wystawa,https://zoom.lublin.pl/wydarzenie/wystawa-dyplomow-specjalnosci-charakteryzacja-i-wizaz-lubelskiej-szkoly-sztuki-i-projektowania/,,zoom.lublin.pl,2025-11-14
"Aldona Mickiewicz, Tadeusz Boruta — Od i do — rzeczy",2025-09-20,,Galeria Sztuki Wirydarz,Wystawa,https://zoom.lublin.pl/wydarzenie/aldona-mickiewicz-tadeusz-boruta-od-i-do-rzeczy/,,zoom.lublin.pl,2025-11-30
Wystawa: Voices From Ukraine,2025-09-23,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-voices-from-ukraine,85059,0,w.html",,lublin.eu,2025-11-16
Voices From Ukraine,2025-09-24,,Galeria Labirynt,Wystawa,https://zoom.lublin.pl/wydarzenie/voices-from-ukraine/,,zoom.lublin.pl,2025-11-16
Ola Marzęta — Odbicia i echa,2025-09-30,,Muzeum Osiedli Mieszkaniowych,Wystawa,https://zoom.lublin.pl/wydarzenie/ola-marzeta-odbicia-i-echa/,,zoom.lublin.pl,2025-11-30
Wystawa: Odbicia i echa - Oli Marzęty,2025-09-30,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-odbicia-i-echa-oli-marzety,85420,0,w.html",,lublin.eu,2025-11-30
Wystawa: Lublin i Lubelszczyzna 1956 w fotografiach Melchiora Wańkowicza,2025-10-16,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-lublin-i-lubelszczyzna-1956-w-fotografiach-melchiora-wankowicza,85940,0,w.html",,lublin.eu,2025-11-28
Wystawa: East Creative Industries Exhibition,2025-10-17,,,,"https://lublin.eu/kultura/wydarzenia/wystawa-east-creative-industries-exhibition,85575,0,w.html",,lublin.eu,2025-11-09
