Title,Date,Time,Venue,Category,Link,Payment for Entry,Source,_EndDate
Lubelski Dom Tańca — Orkiestra Galicja,2025-11-08,15:00,"Ośrodek Międzykulturowych Inicjatyw Twórczych ""Rozdroża""",Taniec,https://zoom.lublin.pl/wydarzenie/lubelski-dom-tanca-orkiestra-galicja/,,zoom.lublin.pl,2025-11-08
Spotkania Typograficzne TypoLub,2025-11-08,15:00,Dom Słów,Festiwal,https://zoom.lublin.pl/wydarzenie/spotkania-typograficzne-typolub/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Dom dobry,2025-11-08,"15:30, 18:00",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-dom-dobry/,,zoom.lublin.pl,2025-11-08
Fly Me to the Moon,2025-11-08,16:00,Teatr im. Juliusza Osterwy,Teatr,https://zoom.lublin.pl/wydarzenie/fly-me-to-the-moon/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Uwierz w Mikołaja 2,2025-11-08,"16:00, 20:15",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-uwierz-w-mikolaja-2/,,zoom.lublin.pl,2025-11-08
Szymon Majewski — Kto Panu to zrobił?,2025-11-08,"16:00, 19:00, 20:15",Radio Lublin,Na żywo,https://zoom.lublin.pl/wydarzenie/szymon-majewski-kto-panu-to-zrobil/,,zoom.lublin.pl,2025-11-08
"Kino CK: Szkoda, że nareszcie",2025-11-08,17:00,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-szkoda-ze-nareszcie/,,zoom.lublin.pl,2025-11-08
Słowik i Babka Natura,2025-11-08,17:00,Teatr im. H.Ch. Andersena,Teatr,https://zoom.lublin.pl/wydarzenie/slowik-i-babka-natura/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Być kochaną,2025-11-08,17:45,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-byc-kochana/,,zoom.lublin.pl,2025-11-08
Narodowy Koncert Listopadowy,2025-11-08,18:00,Urząd Miasta,Muzyka,https://zoom.lublin.pl/wydarzenie/narodowy-koncert-listopadowy/,,zoom.lublin.pl,2025-11-08
Phantom,2025-11-08,18:00,Opera Lubelska,Teatr,https://zoom.lublin.pl/wydarzenie/phantom/,,zoom.lublin.pl,2025-11-08
Poskromienie złośnicy,2025-11-08,18:00,Teatr im. Juliusza Osterwy,Teatr,https://zoom.lublin.pl/wydarzenie/poskromienie-zlosnicy/,,zoom.lublin.pl,2025-11-08
Koncert organowy: Adam Sokulski,2025-11-08,19:00,Bazylika oo. Dominikanów,Muzyka,https://zoom.lublin.pl/wydarzenie/koncert-organowy-adam-sokulski/,,zoom.lublin.pl,2025-11-08
The Metropolitan Opera: LIVE in HD 2025/2026. Giacomo Puccini — Cyganeria,2025-11-08,19:00,Teatr Stary,Teatr,https://zoom.lublin.pl/wydarzenie/the-metropolitan-opera-live-in-hd-2025-2026-giacomo-puccini-cyganeria/,,zoom.lublin.pl,2025-11-08
Wernisaż: Robert Zając: Tytuł oryginału. Liternicze frontyspisy Wschodniego Expressu,2025-11-08,19:00,Dom Słów,Spotkanie,https://zoom.lublin.pl/wydarzenie/wernisaz-robert-zajac-tytul-oryginalu-liternicze-frontyspisy-wschodniego-expressu/,,zoom.lublin.pl,2025-11-08
Wernisaż: 9/9/90,2025-11-08,19:40,Dom Słów,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-9-9-90/,,zoom.lublin.pl,2025-11-08
Kino CK: Miłość,2025-11-08,19:45,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-milosc/,,zoom.lublin.pl,2025-11-08
Spektakl: A dance for washing mashine and a mother,2025-11-08,20:00,,,"https://lublin.eu/kultura/wydarzenia/spektakl-a-dance-for-washing-mashine-and-a-mother,86130,0,w.html",,lublin.eu,2025-11-08
Spektakl: Akanana Sweet Banana,2025-11-08,21:00,,,"https://lublin.eu/kultura/wydarzenia/spektakl-akanana-sweet-banana,86131,0,w.html",,lublin.eu,2025-11-08
Teatr Stary w Lublinie — 200 lat historii,2025-11-09,10:00,Teatr Stary,Spotkanie,https://zoom.lublin.pl/wydarzenie/teatr-stary-w-lublinie-200-lat-historii/,,zoom.lublin.pl,2025-11-09
Warsztaty teatralne w PJM,2025-11-09,"10:00, 11:30, 13:00",Fundacja Ośmiornice Kreatywności,Warsztaty,https://zoom.lublin.pl/wydarzenie/warsztaty-teatralne-w-pjm/,,zoom.lublin.pl,2025-11-09
Bajkoczytanie na drugie śniadanie,2025-11-09,11:00,,,"https://lublin.eu/kultura/wydarzenia/bajkoczytanie-na-drugie-sniadanie,86254,0,w.html",,lublin.eu,2025-11-09
Jesienny Bazarek Dzieci,2025-11-09,12:00,Centrum Kultury w Lublinie,Inne,https://zoom.lublin.pl/wydarzenie/jesienny-bazarek-dzieci/,,zoom.lublin.pl,2025-11-09
Słowik i Babka Natura,2025-11-09,12:00,Teatr im. H.Ch. Andersena,Teatr,https://zoom.lublin.pl/wydarzenie/slowik-i-babka-natura/,,zoom.lublin.pl,2025-11-09
Kino Bajka: Kicia Kocia ma braciszka,2025-11-09,12:45,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-kicia-kocia-ma-braciszka/,,zoom.lublin.pl,2025-11-09
Lublin dla wszystkich — historia i legendy,2025-11-09,13:00,Centrum Inspiracji Turystycznej,Inne,https://zoom.lublin.pl/wydarzenie/lublin-dla-wszystkich-historia-i-legendy/,,zoom.lublin.pl,2025-11-09
Kino Bajka: Bugonia,2025-11-09,"13:15, 19:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-bugonia/,,zoom.lublin.pl,2025-11-09
Kino Bajka: Wielkie ostrzeżenie,2025-11-09,14:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-wielkie-ostrzezenie/,,zoom.lublin.pl,2025-11-09
Kino Sztuczka: Ben nie ma lekko,2025-11-09,15:00,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-sztuczka-ben-nie-ma-lekko/,,zoom.lublin.pl,2025-11-09
Kino Bajka: Dom dobry,2025-11-09,"15:30, 18:00",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-dom-dobry/,,zoom.lublin.pl,2025-11-09
Spotkania Typograficzne TypoLub,2025-11-09,"15:30, 18:00",Dom Słów,Festiwal,https://zoom.lublin.pl/wydarzenie/spotkania-typograficzne-typolub/,,zoom.lublin.pl,2025-11-09
Fly Me to the Moon,2025-11-09,16:00,Teatr im. Juliusza Osterwy,Teatr,https://zoom.lublin.pl/wydarzenie/fly-me-to-the-moon/,,zoom.lublin.pl,2025-11-09
Kino Bajka: Uwierz w Mikołaja 2,2025-11-09,"16:00, 20:15",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-uwierz-w-mikolaja-2/,,zoom.lublin.pl,2025-11-09
Phantom,2025-11-09,17:00,Opera Lubelska,Teatr,https://zoom.lublin.pl/wydarzenie/phantom/,,zoom.lublin.pl,2025-11-09
Spektakl: Młoda generacja,2025-11-09,17:30,,,"https://lublin.eu/kultura/wydarzenia/spektakl-mloda-generacja,86132,0,w.html",,lublin.eu,2025-11-09
Kino Bajka: Być kochaną,2025-11-09,17:45,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-byc-kochana/,,zoom.lublin.pl,2025-11-09
Kino CK: Ostatni wiking,2025-11-09,18:00,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-ostatni-wiking/,,zoom.lublin.pl,2025-11-09
Mateusz Ziółko,2025-11-09,18:00,Centrum Spotkania Kultur,Muzyka,https://zoom.lublin.pl/wydarzenie/mateusz-ziolko/,,zoom.lublin.pl,2025-11-09
Nocny Kochanek,2025-11-09,18:00,Fabryka Kultury Zgrzyt,Muzyka,https://zoom.lublin.pl/wydarzenie/nocny-kochanek-2/,,zoom.lublin.pl,2025-11-09
Poskromienie złośnicy,2025-11-09,18:00,Teatr im. Juliusza Osterwy,Teatr,https://zoom.lublin.pl/wydarzenie/poskromienie-zlosnicy/,,zoom.lublin.pl,2025-11-09
Cukry,2025-11-09,19:00,Dzielnicowy Dom Kultury „Węglin”,Teatr,https://zoom.lublin.pl/wydarzenie/cukry/,,zoom.lublin.pl,2025-11-09
Mietek Szcześniak,2025-11-09,19:00,Centrum Spotkania Kultur,Muzyka,https://zoom.lublin.pl/wydarzenie/mietek-szczesniak/,,zoom.lublin.pl,2025-11-09
MOM TO MUSIC vol. 15: ZUOL / Piołun / Cieślak / Duo Strinning / Chmiel,2025-11-09,19:00,Muzeum Osiedli Mieszkaniowych,Muzyka,https://zoom.lublin.pl/wydarzenie/mom-to-music-vol-15-zuol-piolun-cieslak-duo-strinning-chmiel/,,zoom.lublin.pl,2025-11-09
Stand-up: Olaf,2025-11-09,19:00,Klub Graffiti,Na żywo,https://zoom.lublin.pl/wydarzenie/stand-up-olaf/,,zoom.lublin.pl,2025-11-09
Spektakl: Through Warm Temperatures,2025-11-09,19:30,,,"https://lublin.eu/kultura/wydarzenia/spektakl-through-warm-temperatures,86133,0,w.html",,lublin.eu,2025-11-09
Kino CK: Miłość,2025-11-09,20:30,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-milosc/,,zoom.lublin.pl,2025-11-09
Spektakl: Until the Tongue Speaks,2025-11-09,21:00,,,"https://lublin.eu/kultura/wydarzenia/spektakl-until-the-tongue-speaks,86134,0,w.html",,lublin.eu,2025-11-09
Kino Bajka: Kicia Kocia ma braciszka,2025-11-10,"12:00, 12:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-kicia-kocia-ma-braciszka/,,zoom.lublin.pl,2025-11-10
Drzewa — niemi świadkowie historii Lublina,2025-11-10,13:00,Centrum Inspiracji Turystycznej,Inne,https://zoom.lublin.pl/wydarzenie/drzewa-niemi-swiadkowie-historii-lublina/,,zoom.lublin.pl,2025-11-10
Kino Bajka: Bugonia,2025-11-10,"13:15, 19:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-bugonia/,,zoom.lublin.pl,2025-11-10
Kino Bajka: Wielkie ostrzeżenie,2025-11-10,14:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-wielkie-ostrzezenie/,,zoom.lublin.pl,2025-11-10
Kino Bajka: Dom dobry,2025-11-10,"15:30, 18:00",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-dom-dobry/,,zoom.lublin.pl,2025-11-10
Kino Bajka: Uwierz w Mikołaja 2,2025-11-10,"16:00, 20:15",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-uwierz-w-mikolaja-2/,,zoom.lublin.pl,2025-11-10
Warsztaty teatralno - muzyczne dla dzieci,2025-11-10,17:00,,,"https://lublin.eu/kultura/wydarzenia/warsztaty-teatralno-muzyczne-dla-dzieci,86351,0,w.html",,lublin.eu,2025-11-10
Kino Bajka: Być kochaną,2025-11-10,17:45,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-byc-kochana/,,zoom.lublin.pl,2025-11-10
Spektakl: Taranto Aleatorio,2025-11-10,20:00,,,"https://lublin.eu/kultura/wydarzenia/spektakl-taranto-aleatorio,86136,0,w.html",,lublin.eu,2025-11-10
Spektakl: Dance Makes the Floor,2025-11-10,21:00,,,"https://lublin.eu/kultura/wydarzenia/spektakl-dance-makes-the-floor,86137,0,w.html",,lublin.eu,2025-11-10
Kino Bajka: Kicia Kocia ma braciszka,2025-11-11,12:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-kicia-kocia-ma-braciszka/,,zoom.lublin.pl,2025-11-11
